Sl. No. Col. (1),State/UT Col. (2),Persons Arrested - Male - Col. (3),Persons Arrested - Female - Col. (4),Persons Arrested - Transgender - Col. (5),Persons Arrested - Total - Col. (6),Persons Charge sheeted - Male - Col. (7),Persons Charge sheeted - Female - Col. (8),Persons Charge sheeted - Transgender - Col. (9),Persons Charge sheeted - Total - Col. (10),Persons Convicted - Male - Col. (11),Persons Convicted - Female - Col. (12),Persons Convicted - Transgender - Col. (13),Persons Convicted - Total - Col. (14),Persons Discharged - Male - Col. (15),Persons Discharged - Female - Col. (16),Persons Discharged - Transgender - Col. (17),Persons Discharged - Total - Col. (18),Persons Acquitted - Male - Col. (19),Persons Acquitted - Female - Col. (20),Persons Acquitted - Transgender - Col. (21),Persons Acquitted - Total - Col. (22)
1,Andhra Pradesh,16048,3037,0,19085,31674,7594,0,39268,271,26,0,297,5,2,0,7,7376,1789,0,9165
2,Arunachal Pradesh,355,15,0,370,305,11,0,316,22,0,0,22,32,0,0,32,12,2,0,14
3,Assam,34555,367,1,34923,21582,295,0,21877,185,0,0,185,3,0,0,3,4478,100,0,4578
4,Bihar,14250,1435,0,15685,14788,1658,0,16446,604,26,0,630,40,2,0,42,822,55,0,877
5,Chhattisgarh,8952,998,0,9950,8761,920,0,9681,965,77,0,1042,129,18,0,147,2120,187,0,2307
6,Goa,177,9,0,186,243,27,0,270,5,2,0,7,18,3,0,21,81,7,0,88
7,Gujarat,10356,3150,0,13506,11621,4043,0,15664,165,18,0,183,20,7,0,27,4624,1557,0,6181
8,Haryana,12195,1239,0,13434,11728,1202,0,12930,576,10,0,586,0,0,0,0,2992,304,0,3296
9,Himachal Pradesh,1200,209,0,1409,1781,416,0,2197,82,3,0,85,1,0,0,1,388,56,0,444
10,Jharkhand,6839,461,0,7300,7029,429,0,7458,703,17,0,720,37,2,0,39,672,34,0,706
11,Karnataka,21387,4778,2,26167,21305,5048,2,26355,613,36,0,649,27,5,0,32,8741,1692,0,10433
12,Kerala,14591,1519,0,16110,16829,2204,0,19033,554,16,0,570,65,0,0,65,3464,247,0,3711
13,Madhya Pradesh,23822,2986,0,26808,38416,7732,0,46148,5313,392,0,5705,2262,196,0,2458,8532,930,0,9462
14,Maharashtra,38642,5720,1,44363,48359,10969,1,59329,1169,44,0,1213,315,57,0,372,10578,2340,0,12918
15,Manipur,273,21,0,294,154,3,0,157,8,0,0,8,1,0,0,1,18,0,0,18
16,Meghalaya,678,4,0,682,550,4,0,554,72,0,0,72,6,0,0,6,39,1,0,40
17,Mizoram,176,3,0,179,175,3,0,178,48,0,0,48,0,0,0,0,10,0,0,10
18,Nagaland,60,8,0,68,51,8,0,59,10,8,0,18,1,0,0,1,3,0,0,3
19,Odisha,15085,1161,0,16246,32591,2976,0,35567,198,1,0,199,0,0,0,0,3323,221,0,3544
20,Punjab,5658,885,0,6543,4727,565,0,5292,456,38,0,494,68,16,0,84,1510,129,0,1639
21,Rajasthan,27224,1474,0,28698,29636,1681,0,31317,5177,135,0,5312,1354,132,0,1486,5068,304,0,5372
22,Sikkim,136,1,0,137,129,0,0,129,24,0,0,24,3,0,0,3,38,0,0,38
23,Tamil Nadu,10998,1655,0,12653,7165,899,0,8064,594,41,0,635,33,11,0,44,3010,545,0,3555
24,Telangana,12409,1496,0,13905,24052,4849,0,28901,475,31,0,506,0,0,0,0,4219,736,0,4955
25,Tripura,541,35,0,576,1161,208,0,1369,51,0,0,51,0,0,0,0,282,56,0,338
26,Uttar Pradesh,86921,6471,0,93392,99707,9554,0,109261,13325,699,0,14024,803,46,0,849,10607,886,0,11493
27,Uttarakhand,2536,91,0,2627,3288,189,0,3477,214,4,0,218,1,0,0,1,243,10,0,253
28,West Bengal,22234,1276,0,23510,49711,4081,0,53792,219,3,0,222,247,71,0,318,10560,1326,0,11886
Total State(S),Total State(S),388298,40504,4,428806,487518,67568,3,555089,32098,1627,0,33725,5471,568,0,6039,93810,13514,0,107324
29,Andaman and Nicobar Islands,175,7,0,182,199,21,0,220,18,1,0,19,2,0,0,2,137,6,0,143
30,Chandigarh,206,30,0,236,194,37,0,231,24,0,0,24,1,0,0,1,98,13,0,111
31,Dadra and Nagar Haveli and Daman and Diu,94,9,0,103,84,3,0,87,2,0,0,2,0,0,0,0,61,2,0,63
32,Delhi,13157,1081,0,14238,12549,1478,0,14027,318,7,0,325,93,13,0,106,437,34,0,471
33,Jammu and Kashmir,6461,648,0,7109,6353,641,0,6994,90,5,0,95,3,0,0,3,1056,119,0,1175
34,Ladakh,23,0,0,23,20,0,0,20,4,0,0,4,0,0,0,0,4,0,0,4
35,Lakshadweep,26,0,0,26,26,0,0,26,0,0,0,0,0,0,0,0,16,1,0,17
36,Puducherry,289,40,0,329,194,10,0,204,0,0,0,0,0,0,0,0,14,0,0,14
Total UT(S),Total UT(S),20431,1815,0,22246,19619,2190,0,21809,456,13,0,469,99,13,0,112,1823,175,0,1998
Total All India,Total All India,408729,42319,4,451052,507137,69758,3,576898,32554,1640,0,34194,5570,581,0,6151,95633,13689,0,109322
